key,English,Italian
noteMissionaryG,"Missionary Note","Biglietto del Missionario"
noteMissionaryGDesc,"Read the note for instructions on how to begin your journey to purify the wasteland in the name of God.\n \n-The Church","Istruzioni per iniziare il pellegrinaggio nelle Lande e purificarlo in nome di Dio.\n \n-La Chiesa"
cntHolyRelicG,"Holy Relic","Sacra Reliquia"
cntHolyRelicGDesc,"Relic for contacting God for your next exorcism.","Reliquia per ricevere istruzioni da Dio per il tuo prossimo esorcismo."
cntHolyRelicGVariantHelperDesc,"Relic for contacting God for your next exorcism.","Reliquia per ricevere istruzioni da Dio per il tuo prossimo esorcismo."
quest_startMissionaryG,"Missionary Journey Start","Inizio del Pellegrinaggio"
quest_startMissionaryG_subtitle,"Craft a Holy Relic, Holy Cache and a Holy Planter","Crea una Sacra Reliquia, una Cassa Sacra e un Piantatoio Sacro"
quest_startMissionaryG_description,"Craft a Holy Relic by gathering stone, a Holy Cache by gathering wood and a Holy Planter by gathering plant fiber.","Raccogli sassi per creare una Sacra Reliquia, legno per creare una Cassa Sacra e fibre vegetali per creare un Piantatoio Sacro."
quest_startMissionaryG_offer,"Dear Missionary,\n\nIf you're reading this note, then it means you've been chosen for purifying this part of the wasteland. This predicament is made by God's Will to test humanity's faith, if you are a sinner you'll be punished and transformed. However, should your faith be pure and bright you'll shall be blessed by his holyness. Now start your journey by creating a holy relic in order to receive guidance.\nMay God be with you,\nThe Church","Caro Missionario,\n\nSe stai leggendo questo biglietto, significa sei il prescelto per purificare questa parte della Landa. Questa situazione è stata creata dalla Volontà di Dio per mettere alla prova la nostra fede, se sei un peccatore sarai punito e trasformato. Tuttavia, se la tua fede è pura, sarai benedetto. Inizia il tuo viaggio creando una sacra reliquia per ricevere istruzioni.\nChe Dio ti benedica,\nLa Chiesa"
quest_warningMissionaryG,"May God guide me","Che Dio mi benedica"
quest_warningInfectedMissionaryG,"God has forsaken me","Dio mi ha abbandonato"
buffProtectionBlessingGName,"Divine Protection","Protezione Divina"
buffProtectionBlessingGDesc,"God has blessed you with a temporary divine protection.","Dio mi ha benedetto con una protezione temporanea."
drinkJarHolyWaterMissionaryG,"Holy Water","Acqua Santa"
